# TODAS AS PROBABILIDADES (20 SIMULAÇÕES) - PSO
# Requisição 4: [4,11]
# Data: 2026-02-04 22:53:14
# Chamadas por load: 1000
# Loads: 1-200
# ================================================================================
# Formato: Load | Sim1 | Sim2 | ... | Sim20 | Média | DesvioPadrão
# ================================================================================

Load   1 | 0.80000000 | 0.77500000 | 0.78125000 | 0.80625000 | 0.78750000 | 0.81250000 | 0.78125000 | 0.81250000 | 0.81250000 | 0.80000000 | 0.80000000 | 0.78750000 | 0.76875000 | 0.80625000 | 0.80625000 | 0.80625000 | 0.82500000 | 0.81250000 | 0.78750000 | 0.80625000 | 0.79875000 | 0.01446980
Load   2 | 0.78750000 | 0.80625000 | 0.80625000 | 0.78750000 | 0.78125000 | 0.81250000 | 0.82500000 | 0.81875000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.83750000 | 0.81250000 | 0.80625000 | 0.81875000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.78750000 | 0.81250000 | 0.80562500 | 0.01396144
Load   3 | 0.80000000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.80000000 | 0.81875000 | 0.80000000 | 0.80625000 | 0.78125000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.79375000 | 0.80625000 | 0.78750000 | 0.79625000 | 0.00870524
Load   4 | 0.80000000 | 0.80625000 | 0.81250000 | 0.78125000 | 0.78750000 | 0.78750000 | 0.78125000 | 0.84375000 | 0.80625000 | 0.79375000 | 0.78125000 | 0.80000000 | 0.79375000 | 0.81250000 | 0.78750000 | 0.78750000 | 0.77500000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.79812500 | 0.01569982
Load   5 | 0.78125000 | 0.84375000 | 0.81250000 | 0.81250000 | 0.80625000 | 0.76875000 | 0.78750000 | 0.79375000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.80000000 | 0.78125000 | 0.79375000 | 0.80625000 | 0.80625000 | 0.79375000 | 0.79375000 | 0.78125000 | 0.80000000 | 0.79937500 | 0.01579903
Load   6 | 0.78750000 | 0.80000000 | 0.80000000 | 0.81250000 | 0.81875000 | 0.78750000 | 0.80625000 | 0.78750000 | 0.82500000 | 0.80625000 | 0.81250000 | 0.78750000 | 0.79375000 | 0.80625000 | 0.79375000 | 0.78125000 | 0.80625000 | 0.79375000 | 0.81875000 | 0.78125000 | 0.80031250 | 0.01272838
Load   7 | 0.78750000 | 0.81875000 | 0.80625000 | 0.78125000 | 0.80625000 | 0.79375000 | 0.81250000 | 0.80000000 | 0.79375000 | 0.78750000 | 0.80000000 | 0.78125000 | 0.79375000 | 0.83750000 | 0.81250000 | 0.78750000 | 0.80625000 | 0.81250000 | 0.80000000 | 0.80000000 | 0.80093750 | 0.01344477
Load   8 | 0.81875000 | 0.79375000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.81250000 | 0.79375000 | 0.81250000 | 0.80625000 | 0.78125000 | 0.79375000 | 0.80625000 | 0.78125000 | 0.81250000 | 0.80000000 | 0.80625000 | 0.80625000 | 0.80031250 | 0.01054659
Load   9 | 0.78125000 | 0.80625000 | 0.78750000 | 0.77500000 | 0.78125000 | 0.80625000 | 0.78125000 | 0.81875000 | 0.78750000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.82500000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.79375000 | 0.78125000 | 0.83750000 | 0.81875000 | 0.79718750 | 0.01647382
Load  10 | 0.81250000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.81250000 | 0.76250000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.80625000 | 0.80000000 | 0.78750000 | 0.79718750 | 0.01241770
Load  11 | 0.78125000 | 0.80000000 | 0.80000000 | 0.79375000 | 0.78750000 | 0.77500000 | 0.77500000 | 0.79375000 | 0.80625000 | 0.80625000 | 0.79375000 | 0.81250000 | 0.81875000 | 0.82500000 | 0.81875000 | 0.80000000 | 0.83750000 | 0.79375000 | 0.80000000 | 0.82500000 | 0.80218750 | 0.01645009
Load  12 | 0.80000000 | 0.80625000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.77500000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.83750000 | 0.78125000 | 0.80625000 | 0.80625000 | 0.80625000 | 0.78750000 | 0.80625000 | 0.81875000 | 0.80625000 | 0.79375000 | 0.78750000 | 0.79906250 | 0.01358926
Load  13 | 0.80000000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.78125000 | 0.78750000 | 0.80000000 | 0.78750000 | 0.80000000 | 0.79375000 | 0.78125000 | 0.78125000 | 0.81875000 | 0.81250000 | 0.80625000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.78750000 | 0.79562500 | 0.00990186
Load  14 | 0.80625000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.79375000 | 0.81250000 | 0.80625000 | 0.78750000 | 0.80000000 | 0.80625000 | 0.79375000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.82500000 | 0.79375000 | 0.78125000 | 0.79375000 | 0.78750000 | 0.79375000 | 0.79843750 | 0.01167178
Load  15 | 0.80625000 | 0.80625000 | 0.81875000 | 0.79375000 | 0.79375000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.79375000 | 0.78750000 | 0.78125000 | 0.79375000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.81250000 | 0.80000000 | 0.79375000 | 0.79968750 | 0.00936979
Load  16 | 0.79375000 | 0.77500000 | 0.80000000 | 0.77500000 | 0.79375000 | 0.78125000 | 0.79375000 | 0.78750000 | 0.78125000 | 0.80625000 | 0.80000000 | 0.81250000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.81250000 | 0.81250000 | 0.82500000 | 0.80000000 | 0.78750000 | 0.79500000 | 0.01319920
Load  17 | 0.78750000 | 0.79375000 | 0.81250000 | 0.82500000 | 0.80625000 | 0.78750000 | 0.77500000 | 0.78125000 | 0.80625000 | 0.79375000 | 0.78125000 | 0.80000000 | 0.80625000 | 0.77500000 | 0.80000000 | 0.78125000 | 0.77500000 | 0.78750000 | 0.81250000 | 0.78125000 | 0.79343750 | 0.01418006
Load  18 | 0.81875000 | 0.81250000 | 0.79375000 | 0.78125000 | 0.82500000 | 0.77500000 | 0.78750000 | 0.81250000 | 0.80625000 | 0.81250000 | 0.80625000 | 0.81250000 | 0.80625000 | 0.78125000 | 0.78750000 | 0.79375000 | 0.81250000 | 0.76875000 | 0.83750000 | 0.81875000 | 0.80250000 | 0.01761125
Load  19 | 0.78750000 | 0.79375000 | 0.80000000 | 0.79375000 | 0.78125000 | 0.81875000 | 0.80000000 | 0.78750000 | 0.81250000 | 0.80000000 | 0.80625000 | 0.79375000 | 0.80625000 | 0.81250000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.77500000 | 0.78750000 | 0.81250000 | 0.79937500 | 0.01184206
Load  20 | 0.79375000 | 0.79375000 | 0.80625000 | 0.79375000 | 0.80625000 | 0.81250000 | 0.81250000 | 0.80625000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.80625000 | 0.81250000 | 0.78125000 | 0.80000000 | 0.77500000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.79781250 | 0.01050948
Load  21 | 0.80000000 | 0.78750000 | 0.80625000 | 0.81250000 | 0.79375000 | 0.77500000 | 0.80625000 | 0.81250000 | 0.81250000 | 0.78750000 | 0.80000000 | 0.81875000 | 0.78750000 | 0.78750000 | 0.81250000 | 0.82500000 | 0.78750000 | 0.81875000 | 0.79375000 | 0.80625000 | 0.80156250 | 0.01323983
Load  22 | 0.80000000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.78125000 | 0.78125000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.80000000 | 0.79375000 | 0.78125000 | 0.80625000 | 0.83125000 | 0.78750000 | 0.79375000 | 0.79312500 | 0.01167596
Load  23 | 0.81875000 | 0.79375000 | 0.78750000 | 0.80625000 | 0.78750000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.78125000 | 0.77500000 | 0.80000000 | 0.79375000 | 0.81875000 | 0.79375000 | 0.80000000 | 0.78750000 | 0.78750000 | 0.80000000 | 0.80000000 | 0.78750000 | 0.79562500 | 0.01066170
Load  24 | 0.81250000 | 0.78750000 | 0.79375000 | 0.81875000 | 0.81250000 | 0.81250000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.78125000 | 0.80000000 | 0.80000000 | 0.80625000 | 0.80000000 | 0.78125000 | 0.79375000 | 0.80000000 | 0.77500000 | 0.78125000 | 0.76875000 | 0.79531250 | 0.01309148
Load  25 | 0.80625000 | 0.82500000 | 0.79375000 | 0.80000000 | 0.80625000 | 0.80625000 | 0.81250000 | 0.81875000 | 0.80000000 | 0.80625000 | 0.78125000 | 0.80000000 | 0.80625000 | 0.79375000 | 0.79375000 | 0.80000000 | 0.79375000 | 0.79375000 | 0.78750000 | 0.79375000 | 0.80093750 | 0.01013098
Load  26 | 0.78125000 | 0.81250000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.78125000 | 0.78125000 | 0.78750000 | 0.78750000 | 0.78750000 | 0.81250000 | 0.78750000 | 0.78750000 | 0.80000000 | 0.80625000 | 0.80625000 | 0.80625000 | 0.81875000 | 0.79656250 | 0.01126301
Load  27 | 0.81250000 | 0.79375000 | 0.80000000 | 0.80000000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.79375000 | 0.80625000 | 0.78125000 | 0.78125000 | 0.83750000 | 0.79375000 | 0.80625000 | 0.80000000 | 0.81875000 | 0.78125000 | 0.77500000 | 0.80625000 | 0.81250000 | 0.79906250 | 0.01428983
Load  28 | 0.81875000 | 0.83125000 | 0.80000000 | 0.79375000 | 0.80625000 | 0.82500000 | 0.80000000 | 0.81250000 | 0.81875000 | 0.78750000 | 0.77500000 | 0.80000000 | 0.81250000 | 0.80000000 | 0.76875000 | 0.79375000 | 0.80000000 | 0.82500000 | 0.81250000 | 0.78750000 | 0.80343750 | 0.01611422
Load  29 | 0.81875000 | 0.79375000 | 0.81250000 | 0.80000000 | 0.81250000 | 0.80625000 | 0.79375000 | 0.80000000 | 0.78125000 | 0.80000000 | 0.80000000 | 0.79375000 | 0.79375000 | 0.78125000 | 0.78125000 | 0.80000000 | 0.80625000 | 0.80000000 | 0.77500000 | 0.80625000 | 0.79781250 | 0.01122828
Load  30 | 0.80000000 | 0.80000000 | 0.78750000 | 0.79375000 | 0.79375000 | 0.81875000 | 0.78125000 | 0.78750000 | 0.81875000 | 0.79375000 | 0.78750000 | 0.80625000 | 0.78125000 | 0.78750000 | 0.81875000 | 0.78750000 | 0.78750000 | 0.78125000 | 0.78750000 | 0.80000000 | 0.79500000 | 0.01195695
