=== SHORTEST PATH ONLY ===

Blocking Probability Results:
Load	Req1	Req2	Req3	Req4	Req5
116	0.487350	0.509100	0.511050	0.511450	0.517650
117	0.491700	0.512300	0.515400	0.513050	0.517150
118	0.497150	0.517200	0.512050	0.518000	0.521750
119	0.493100	0.514700	0.521350	0.524100	0.519550
120	0.501650	0.515500	0.522700	0.522950	0.524200
121	0.504050	0.525350	0.518700	0.523100	0.530950
122	0.506800	0.531150	0.525600	0.530600	0.530700
123	0.507800	0.527050	0.527600	0.531050	0.534950
124	0.508550	0.533500	0.534750	0.538150	0.533750
125	0.513700	0.529200	0.536050	0.534150	0.540200
126	0.515400	0.540450	0.541150	0.542650	0.540850
127	0.520550	0.542200	0.539000	0.541600	0.546700
128	0.525550	0.547550	0.542650	0.542450	0.547500
129	0.525400	0.545500	0.541800	0.546550	0.550800
130	0.526950	0.546800	0.548500	0.550950	0.555500
131	0.530350	0.546550	0.545650	0.548900	0.552800
132	0.528050	0.548450	0.550300	0.552500	0.559100
133	0.531250	0.556750	0.555500	0.558050	0.562450
134	0.537700	0.554850	0.555800	0.558550	0.561600
135	0.541450	0.557950	0.549950	0.563300	0.564950
136	0.537750	0.561450	0.559850	0.563700	0.565150
137	0.543200	0.560550	0.563950	0.567150	0.568900
138	0.542000	0.566950	0.564500	0.570800	0.569300
139	0.545650	0.569050	0.568150	0.569400	0.573400
140	0.546700	0.561600	0.566400	0.566250	0.576700
141	0.551800	0.571300	0.567550	0.574950	0.578850
142	0.553500	0.574500	0.570900	0.577450	0.577450
143	0.557050	0.574150	0.574600	0.580050	0.584900
144	0.560500	0.577650	0.579500	0.573650	0.585600
145	0.561200	0.577150	0.578200	0.578850	0.580800
146	0.561600	0.581400	0.580550	0.588750	0.589850
147	0.559050	0.579950	0.586400	0.583650	0.588000
148	0.561650	0.577650	0.588050	0.580550	0.589950
149	0.564450	0.587150	0.584700	0.584950	0.590800
150	0.566250	0.590750	0.587950	0.586650	0.593200
151	0.569500	0.588950	0.592200	0.590700	0.593050
152	0.570950	0.592550	0.588300	0.592000	0.599900
153	0.568900	0.594700	0.594600	0.595650	0.598100
154	0.572000	0.590700	0.593400	0.594050	0.601750
155	0.573900	0.594150	0.595000	0.601000	0.603600
156	0.576700	0.599500	0.599950	0.598850	0.599050
157	0.576400	0.599800	0.598550	0.605200	0.608100
158	0.573650	0.604500	0.600450	0.605650	0.605600
159	0.583500	0.603350	0.602650	0.602500	0.606750
160	0.579900	0.612250	0.604250	0.606650	0.609350
161	0.586000	0.607750	0.609400	0.605150	0.612850
162	0.582950	0.607000	0.610600	0.607250	0.609800
163	0.584000	0.610700	0.603550	0.612900	0.613150
164	0.592500	0.603450	0.610850	0.611900	0.617500
165	0.585900	0.612300	0.612850	0.613000	0.617200
166	0.585800	0.619600	0.612450	0.617450	0.622600
167	0.587050	0.619000	0.616350	0.621250	0.617700
168	0.591300	0.613500	0.610950	0.619500	0.618800
169	0.592600	0.617950	0.615400	0.618350	0.619450
170	0.595000	0.619000	0.619750	0.624750	0.627300
171	0.600850	0.622100	0.620400	0.624100	0.624300
172	0.595800	0.621500	0.618050	0.626800	0.627400
