=== TRADITIONAL YEN ===

Blocking Probability Results:
Load	Req1	Req2	Req3	Req4	Req5
116	0.470100	0.191500	0.197350	0.008700	0.179100
117	0.478700	0.196150	0.198950	0.010050	0.181800
118	0.483550	0.205600	0.200100	0.007600	0.188950
119	0.484750	0.213400	0.209350	0.012300	0.198550
120	0.485400	0.211750	0.214850	0.013900	0.198550
121	0.487750	0.218400	0.220850	0.016000	0.210650
122	0.493850	0.226450	0.223550	0.015150	0.208900
123	0.496000	0.233550	0.229050	0.017650	0.217600
124	0.497000	0.239550	0.235200	0.025450	0.225650
125	0.502600	0.238550	0.242000	0.029500	0.219650
126	0.500950	0.250400	0.243450	0.028700	0.230400
127	0.500950	0.249200	0.251100	0.036800	0.232050
128	0.512500	0.249050	0.251100	0.035300	0.241750
129	0.512200	0.255650	0.258900	0.044500	0.242450
130	0.519100	0.262100	0.263650	0.044450	0.250500
131	0.517150	0.266600	0.265950	0.057050	0.255000
132	0.518100	0.273450	0.275000	0.057150	0.251600
133	0.522450	0.275350	0.270650	0.062750	0.262100
134	0.523750	0.284250	0.283350	0.070650	0.260100
135	0.527950	0.287500	0.280900	0.074500	0.266400
136	0.524600	0.287800	0.285950	0.074100	0.270100
137	0.532600	0.296450	0.295200	0.086750	0.272850
138	0.533850	0.298400	0.294800	0.092050	0.279950
139	0.532900	0.299200	0.296700	0.092650	0.285200
140	0.532600	0.308900	0.307300	0.102200	0.285750
141	0.530800	0.302050	0.308650	0.102650	0.293200
142	0.541800	0.318100	0.310950	0.111400	0.297150
143	0.543100	0.317950	0.315550	0.114200	0.300700
144	0.549600	0.325050	0.317150	0.121600	0.304300
145	0.550400	0.328200	0.326000	0.127600	0.307950
146	0.552550	0.333200	0.327000	0.132500	0.310350
147	0.553100	0.335950	0.330650	0.131450	0.315400
148	0.553100	0.334950	0.332600	0.139250	0.316200
149	0.552900	0.341850	0.339150	0.144700	0.321200
150	0.556250	0.348200	0.339500	0.145100	0.325600
151	0.556150	0.349350	0.339000	0.154600	0.328800
152	0.563000	0.348300	0.346700	0.156150	0.334600
153	0.563550	0.357450	0.347100	0.163900	0.339350
154	0.564050	0.358300	0.358150	0.169650	0.341800
155	0.565750	0.362350	0.358300	0.176950	0.343150
156	0.565200	0.363700	0.363450	0.171800	0.344200
157	0.573450	0.371150	0.362600	0.180800	0.346350
158	0.569350	0.369850	0.370300	0.186250	0.349100
159	0.573950	0.379000	0.367900	0.191650	0.348950
160	0.576900	0.383350	0.370550	0.195800	0.358300
161	0.573950	0.386400	0.374400	0.200750	0.362750
162	0.572350	0.385650	0.372450	0.201300	0.366850
163	0.575800	0.383650	0.389900	0.212100	0.365550
164	0.583550	0.386100	0.386000	0.209500	0.370100
165	0.579050	0.395500	0.388300	0.218350	0.374450
166	0.586400	0.400500	0.396850	0.214650	0.377250
167	0.584750	0.400250	0.395900	0.226150	0.375800
168	0.588350	0.403850	0.396850	0.228400	0.375700
169	0.591900	0.410550	0.400500	0.230350	0.377150
170	0.590750	0.407450	0.402650	0.236300	0.386600
171	0.594350	0.412750	0.404200	0.239650	0.391650
172	0.596750	0.416350	0.408050	0.243800	0.386400
173	0.593700	0.417000	0.412350	0.244900	0.391150
174	0.599500	0.419800	0.413500	0.251250	0.396700
175	0.599850	0.426100	0.420150	0.255950	0.398450
176	0.597200	0.428750	0.418250	0.258050	0.399250
177	0.600050	0.429200	0.420500	0.262000	0.408600
178	0.604600	0.434550	0.424750	0.265150	0.405850
179	0.600250	0.432750	0.423650	0.269600	0.408450
180	0.598650	0.433050	0.427600	0.271650	0.412500
181	0.608500	0.437950	0.430700	0.272450	0.418550
182	0.603850	0.435450	0.437950	0.277900	0.414450
183	0.605400	0.443650	0.442400	0.280400	0.420650
184	0.614550	0.440800	0.438100	0.283000	0.416450
185	0.611750	0.449050	0.441350	0.288800	0.429350
186	0.615250	0.449650	0.448900	0.292950	0.421550
187	0.619650	0.453500	0.449550	0.293000	0.434150
188	0.616050	0.459850	0.447900	0.295300	0.431650
189	0.614800	0.455750	0.457900	0.306450	0.425350
190	0.617450	0.462100	0.455450	0.304000	0.435200
191	0.619550	0.466900	0.455950	0.310200	0.438200
192	0.622000	0.465650	0.456550	0.314450	0.437500
193	0.621700	0.467200	0.462400	0.312500	0.443300
194	0.621250	0.474800	0.466950	0.316750	0.447750
195	0.623350	0.468000	0.467700	0.319300	0.450150
196	0.627100	0.472200	0.464850	0.322800	0.446100
197	0.627150	0.471900	0.468400	0.327450	0.451550
198	0.618050	0.478550	0.469900	0.336600	0.453900
199	0.627750	0.482800	0.471400	0.332450	0.454150
200	0.627500	0.484300	0.476100	0.338700	0.452750

=== ESTATÍSTICAS (Load 1-200) ===

[0,12]:
  Média: 0.344512
  Máx: 0.627750
  Mín: 0.000000
  Desvio Padrão: 0.232897

[2,6]:
  Média: 0.169450
  Máx: 0.484300
  Mín: 0.000000
  Desvio Padrão: 0.177875

[3,8]:
  Média: 0.166886
  Máx: 0.476100
  Mín: 0.000000
  Desvio Padrão: 0.175805

[4,11]:
  Média: 0.075906
  Máx: 0.338700
  Mín: 0.000000
  Desvio Padrão: 0.109718

[5,10]:
  Média: 0.159109
  Máx: 0.454150
  Mín: 0.000000
  Desvio Padrão: 0.167921
