# MÉDIAS E ESTATÍSTICAS
# Requisição 3: [5,10]
# Modo: SEPARADO
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   2 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   3 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   4 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   5 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   6 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   7 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   8 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   9 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  10 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  11 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  12 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  13 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  14 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  15 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  16 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  17 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  18 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  19 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  20 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  21 | 0.00009393 | 0.00023980 | 0.00000000 | 0.00094251 | -0.00001792 | 0.00020578
  22 | 0.00033286 | 0.00076621 | 0.00000000 | 0.00268938 | -0.00002453 | 0.00069026
  23 | 0.00038426 | 0.00072001 | 0.00000000 | 0.00251467 | 0.00004842 | 0.00072011
  24 | 0.00077180 | 0.00106180 | 0.00000000 | 0.00295234 | 0.00027653 | 0.00126707
  25 | 0.00111692 | 0.00139615 | 0.00000000 | 0.00473560 | 0.00046570 | 0.00176815
  26 | 0.00193329 | 0.00168418 | 0.00000000 | 0.00577590 | 0.00114771 | 0.00271886
  27 | 0.00336941 | 0.00227962 | 0.00075019 | 0.00832387 | 0.00230610 | 0.00443273
  28 | 0.00722288 | 0.00316166 | 0.00185322 | 0.01363160 | 0.00574814 | 0.00869761
  29 | 0.00815375 | 0.00424751 | 0.00246914 | 0.02162162 | 0.00617252 | 0.01013497
  30 | 0.01357020 | 0.00461525 | 0.00304878 | 0.02151940 | 0.01141745 | 0.01572296
  31 | 0.01850705 | 0.00673060 | 0.01033592 | 0.03502189 | 0.01536761 | 0.02164650
  32 | 0.02360790 | 0.00589955 | 0.01387575 | 0.03885028 | 0.02085609 | 0.02635971
  33 | 0.03512226 | 0.00942636 | 0.01905972 | 0.05730825 | 0.03072539 | 0.03951912
  34 | 0.04230223 | 0.01068447 | 0.02498477 | 0.06121281 | 0.03731853 | 0.04728594
  35 | 0.05335909 | 0.01039087 | 0.03472841 | 0.08020191 | 0.04851233 | 0.05820584
  36 | 0.06392121 | 0.00890420 | 0.05080367 | 0.08765265 | 0.05976790 | 0.06807452
  37 | 0.07435773 | 0.00866594 | 0.05525313 | 0.08961631 | 0.07031556 | 0.07839990
  38 | 0.09231611 | 0.01343362 | 0.06861431 | 0.11381074 | 0.08605008 | 0.09858214
  39 | 0.10053231 | 0.01375486 | 0.07726793 | 0.12842893 | 0.09411644 | 0.10694818
  40 | 0.11013637 | 0.01570553 | 0.08720627 | 0.13898388 | 0.10281062 | 0.11746211
  41 | 0.12236178 | 0.01495725 | 0.09237759 | 0.15689894 | 0.11538507 | 0.12933850
  42 | 0.14406206 | 0.01721147 | 0.10240233 | 0.18005415 | 0.13603388 | 0.15209024
  43 | 0.15024979 | 0.01496543 | 0.12773549 | 0.18971202 | 0.14326925 | 0.15723032
  44 | 0.17012462 | 0.01649055 | 0.13685920 | 0.20790496 | 0.16243270 | 0.17781653
  45 | 0.18072837 | 0.01307069 | 0.15728552 | 0.20165505 | 0.17463163 | 0.18682511
  46 | 0.19130470 | 0.01103248 | 0.17690254 | 0.21462570 | 0.18615867 | 0.19645073
  47 | 0.20639446 | 0.01347683 | 0.18400876 | 0.22960033 | 0.20010827 | 0.21268064
  48 | 0.22201989 | 0.01372440 | 0.20110427 | 0.26204199 | 0.21561823 | 0.22842155
  49 | 0.23337087 | 0.01275609 | 0.20140467 | 0.25691153 | 0.22742087 | 0.23932087
  50 | 0.24485592 | 0.01336427 | 0.21535928 | 0.26382399 | 0.23862224 | 0.25108960
  51 | 0.26220909 | 0.01047148 | 0.24023669 | 0.27619980 | 0.25732474 | 0.26709345
  52 | 0.27713398 | 0.01389873 | 0.25029516 | 0.29831461 | 0.27065101 | 0.28361696
  53 | 0.28357129 | 0.01189804 | 0.25953330 | 0.30641898 | 0.27802153 | 0.28912106
  54 | 0.29249964 | 0.01504904 | 0.27080630 | 0.32100779 | 0.28548011 | 0.29951917
  55 | 0.29996298 | 0.01280193 | 0.27206432 | 0.31796819 | 0.29399160 | 0.30593436
  56 | 0.31231267 | 0.01116741 | 0.29519825 | 0.33984105 | 0.30710370 | 0.31752164
  57 | 0.31929581 | 0.01125175 | 0.30793877 | 0.34396433 | 0.31404750 | 0.32454412
  58 | 0.33848304 | 0.00739381 | 0.32240437 | 0.35081191 | 0.33503425 | 0.34193184
  59 | 0.34388296 | 0.00963539 | 0.32748936 | 0.36103200 | 0.33938860 | 0.34837733
  60 | 0.35818690 | 0.01083369 | 0.33580247 | 0.37567612 | 0.35313359 | 0.36324020
  61 | 0.36358775 | 0.01185296 | 0.34143460 | 0.38036810 | 0.35805901 | 0.36911649
  62 | 0.37970899 | 0.00984006 | 0.35563612 | 0.39866050 | 0.37511916 | 0.38429883
  63 | 0.38624602 | 0.00973620 | 0.36616980 | 0.40585321 | 0.38170463 | 0.39078741
  64 | 0.39413387 | 0.01229419 | 0.35694910 | 0.40911211 | 0.38839932 | 0.39986841
  65 | 0.40263389 | 0.00726031 | 0.38814266 | 0.41724085 | 0.39924737 | 0.40602042
  66 | 0.41498547 | 0.01054845 | 0.39324283 | 0.43275733 | 0.41006521 | 0.41990572
  67 | 0.41703093 | 0.01082218 | 0.39460448 | 0.44182274 | 0.41198300 | 0.42207887
  68 | 0.42599859 | 0.00916693 | 0.40708358 | 0.44277324 | 0.42172273 | 0.43027445
  69 | 0.43658766 | 0.00806768 | 0.41824441 | 0.45280046 | 0.43282454 | 0.44035078
  70 | 0.44204069 | 0.00866513 | 0.42888087 | 0.46173220 | 0.43799889 | 0.44608249
  71 | 0.45034113 | 0.00823936 | 0.43444056 | 0.46446845 | 0.44649793 | 0.45418433
  72 | 0.45669307 | 0.00761631 | 0.44307736 | 0.46866485 | 0.45314049 | 0.46024565
  73 | 0.46202474 | 0.00992392 | 0.44524536 | 0.48472615 | 0.45739579 | 0.46665369
  74 | 0.47366830 | 0.01054281 | 0.45406969 | 0.48868657 | 0.46875067 | 0.47858592
  75 | 0.47504478 | 0.01248709 | 0.45391328 | 0.50057908 | 0.46922026 | 0.48086931
  76 | 0.48549756 | 0.00933892 | 0.46905108 | 0.50381877 | 0.48114148 | 0.48985364
  77 | 0.49298798 | 0.00840989 | 0.47019695 | 0.50614728 | 0.48906524 | 0.49691072
  78 | 0.49529714 | 0.01188980 | 0.47005871 | 0.52187067 | 0.48975122 | 0.50084306
  79 | 0.50009158 | 0.00860610 | 0.48398438 | 0.52276664 | 0.49607732 | 0.50410584
  80 | 0.50769764 | 0.00894491 | 0.49219733 | 0.52577574 | 0.50352534 | 0.51186994
  81 | 0.51299163 | 0.00698671 | 0.49949812 | 0.52472561 | 0.50973273 | 0.51625054
  82 | 0.51911304 | 0.00755219 | 0.50254943 | 0.53802281 | 0.51559036 | 0.52263571
  83 | 0.52162807 | 0.01063489 | 0.49676000 | 0.54042914 | 0.51666749 | 0.52658865
  84 | 0.52819684 | 0.00699648 | 0.51547633 | 0.54082613 | 0.52493338 | 0.53146031
  85 | 0.53735393 | 0.00865377 | 0.51688989 | 0.55019708 | 0.53331743 | 0.54139043
  86 | 0.54300061 | 0.00606322 | 0.53195973 | 0.55606618 | 0.54017246 | 0.54582876
  87 | 0.54603495 | 0.00966100 | 0.53182031 | 0.56898479 | 0.54152864 | 0.55054126
  88 | 0.55293718 | 0.00717102 | 0.53708203 | 0.57078702 | 0.54959231 | 0.55628206
  89 | 0.55220172 | 0.00906215 | 0.54033836 | 0.57184325 | 0.54797473 | 0.55642870
  90 | 0.56297860 | 0.00807025 | 0.55206928 | 0.57797962 | 0.55921428 | 0.56674291
  91 | 0.56668636 | 0.00867615 | 0.55035492 | 0.58183990 | 0.56263943 | 0.57073330
  92 | 0.57014159 | 0.00712397 | 0.55954073 | 0.58451078 | 0.56681866 | 0.57346453
  93 | 0.57329549 | 0.00775288 | 0.54697583 | 0.58630483 | 0.56967921 | 0.57691177
  94 | 0.57718649 | 0.00890473 | 0.56069490 | 0.59303305 | 0.57303293 | 0.58134004
  95 | 0.58368678 | 0.01075841 | 0.55870402 | 0.60794580 | 0.57866859 | 0.58870497
  96 | 0.58470159 | 0.00715203 | 0.56740314 | 0.59596168 | 0.58136557 | 0.58803761
  97 | 0.59025875 | 0.00791070 | 0.57643479 | 0.60598681 | 0.58656885 | 0.59394865
  98 | 0.59870150 | 0.00585991 | 0.58648759 | 0.61400504 | 0.59596818 | 0.60143482
  99 | 0.59903498 | 0.00768033 | 0.58923311 | 0.61679945 | 0.59545254 | 0.60261742
 100 | 0.60284532 | 0.00770628 | 0.58762163 | 0.61625822 | 0.59925077 | 0.60643987
 101 | 0.60515775 | 0.00849271 | 0.58786232 | 0.62225872 | 0.60119638 | 0.60911912
 102 | 0.61336271 | 0.00626072 | 0.60095437 | 0.62479593 | 0.61044243 | 0.61628298
 103 | 0.61532896 | 0.00594822 | 0.60283899 | 0.62524197 | 0.61255445 | 0.61810347
 104 | 0.61792355 | 0.00644029 | 0.60105140 | 0.63365592 | 0.61491952 | 0.62092759
 105 | 0.62189365 | 0.00660309 | 0.60991767 | 0.63115223 | 0.61881368 | 0.62497362
 106 | 0.62369711 | 0.00632528 | 0.60810682 | 0.63420074 | 0.62074672 | 0.62664749
