=== YEN 2 ROTAS ALEATÓRIAS - REQUISIÇÃO [5,10] ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Número de lambdas: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Loads testados: 1 a 200
  Chamadas por load: 1000
  Simulações por load: 20
  Duração das chamadas: 5.0 a 15.0 unidades

RESULTADOS (Probabilidade de Bloqueio):
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000313
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000313
76	0.000625
77	0.000625
78	0.000313
79	0.000938
80	0.000313
81	0.002500
82	0.002812
83	0.003125
84	0.004688
85	0.005938
86	0.005000
87	0.006250
88	0.007813
89	0.007813
90	0.008125
91	0.014375
92	0.012188
93	0.016250
94	0.014375
95	0.015938
96	0.021563
97	0.021875
98	0.026562
99	0.027813
100	0.025625
101	0.024063
102	0.032813
103	0.040937
104	0.046875
105	0.050000
106	0.045625
107	0.050937
108	0.060625
109	0.061875
110	0.058437
111	0.056250
112	0.072812
113	0.066875
114	0.062500
115	0.068750
116	0.080625
117	0.074063
118	0.082500
119	0.083125
120	0.082188
121	0.107813
122	0.093438
123	0.104688
124	0.101562
125	0.107500
126	0.110313
127	0.111250
128	0.111562
129	0.130625
130	0.127812
131	0.133125
132	0.134375
133	0.131250
134	0.138750
135	0.145313
136	0.141875
137	0.162500
138	0.163750
139	0.156250
140	0.146562
141	0.165000
142	0.164375
143	0.164062
144	0.170313
145	0.174687
146	0.176875
147	0.194375
148	0.187188
149	0.194375
150	0.208125
151	0.178750
152	0.204062
153	0.193437
154	0.200938
155	0.215625
156	0.214062
157	0.217812
158	0.229063
159	0.228750
160	0.225000
161	0.224375
162	0.233438
163	0.230313
164	0.235313
165	0.238437
166	0.240000
167	0.240312
168	0.253750
169	0.258125
170	0.241875
171	0.270313
172	0.246875
173	0.271250
174	0.260313
175	0.269063
176	0.275937
177	0.266250
178	0.288438
179	0.279687
180	0.288438
181	0.300937
182	0.291875
183	0.287812
184	0.308125
185	0.292500
186	0.312188
187	0.298125
188	0.296875
189	0.293125
190	0.319375
191	0.304063
192	0.319375
193	0.324688
194	0.328438
195	0.319062
196	0.330625
197	0.338750
198	0.319688
199	0.337812
200	0.342188
