Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
119,0.527,0.53015,0.5355,0.5273,0.52945
120,0.5352,0.537,0.53385,0.53015,0.53075
121,0.53595,0.53535,0.5344,0.54545,0.5415
122,0.5413,0.54035,0.5452,0.53855,0.5459
123,0.5541,0.5443,0.54565,0.54655,0.54355
124,0.54985,0.5465,0.55535,0.54955,0.54905
125,0.5548,0.5517,0.55515,0.55495,0.5562
126,0.56035,0.55965,0.563,0.5595,0.5599
127,0.5672,0.563,0.5688,0.55975,0.56235
128,0.5691,0.5641,0.57135,0.5692,0.57115
129,0.57115,0.57105,0.57285,0.57085,0.57355
130,0.5807,0.5863,0.57465,0.5769,0.576
131,0.5852,0.5868,0.5761,0.5866,0.5822
132,0.5888,0.5931,0.58665,0.58805,0.59215
133,0.594,0.5868,0.58715,0.5836,0.5955
134,0.59415,0.59665,0.59255,0.59635,0.5959
135,0.60095,0.59555,0.59745,0.59385,0.6021
136,0.6011,0.60345,0.60275,0.60355,0.6071
137,0.60055,0.6063,0.6119,0.6107,0.6057
138,0.6108,0.6157,0.6119,0.60615,0.6112
139,0.618,0.61495,0.6175,0.6073,0.61695
140,0.6181,0.62245,0.6248,0.6197,0.6237
141,0.6234,0.62865,0.6222,0.627,0.63475
142,0.62825,0.6301,0.6308,0.62935,0.6244
143,0.6441,0.627,0.6374,0.6421,0.63915
144,0.6374,0.6319,0.6393,0.64065,0.63655
145,0.6369,0.64075,0.64665,0.64345,0.64465
146,0.64615,0.6487,0.6431,0.6501,0.6432
147,0.6561,0.6504,0.65065,0.65525,0.65165
148,0.6619,0.65885,0.66215,0.6598,0.65735
149,0.6588,0.65845,0.6622,0.66115,0.66465
150,0.6667,0.67045,0.6643,0.6684,0.6658
151,0.67535,0.66985,0.67035,0.67425,0.66685
152,0.6772,0.6758,0.67235,0.67845,0.67895
153,0.67715,0.6734,0.67725,0.67995,0.68405
154,0.68255,0.69215,0.6873,0.68715,0.6879
155,0.68735,0.6868,0.68935,0.68885,0.6844
156,0.69125,0.68965,0.6923,0.6945,0.69205
157,0.69505,0.6984,0.697,0.6951,0.6964
158,0.7046,0.7003,0.70635,0.70005,0.7021
159,0.7075,0.70435,0.7082,0.70425,0.70655
160,0.7076,0.7103,0.71125,0.70795,0.70545
161,0.7179,0.7185,0.7135,0.71385,0.71765
162,0.71895,0.7176,0.7209,0.7173,0.71535
163,0.7243,0.7242,0.72735,0.72605,0.7296
164,0.7318,0.7295,0.7298,0.7283,0.73155
165,0.73375,0.73505,0.7295,0.73935,0.73495
166,0.7433,0.73275,0.74195,0.73945,0.7422
167,0.7429,0.7421,0.7448,0.742,0.73975
168,0.75395,0.74835,0.74335,0.74765,0.74185
169,0.75115,0.75605,0.7495,0.74695,0.75025
170,0.75945,0.75975,0.75355,0.75795,0.7533
171,0.7603,0.76085,0.75945,0.75945,0.7606
172,0.7707,0.76155,0.76325,0.7637,0.76265
173,0.76865,0.77025,0.7697,0.7721,0.76785
174,0.7727,0.7802,0.77485,0.77545,0.76985
175,0.7787,0.77915,0.7764,0.7794,0.7765
176,0.7813,0.78435,0.78045,0.7797,0.78405
177,0.7897,0.78855,0.7858,0.7836,0.7914
178,0.795,0.79445,0.79075,0.7945,0.79505
179,0.79355,0.79665,0.7984,0.7932,0.79095
180,0.8008,0.79655,0.80205,0.7986,0.79605
181,0.80785,0.8022,0.80515,0.80025,0.80415
182,0.81485,0.80665,0.80685,0.8112,0.80535
183,0.8116,0.81155,0.8104,0.814,0.8113
184,0.822,0.8194,0.81795,0.8169,0.8175
185,0.82515,0.8229,0.82165,0.82205,0.82215
186,0.82565,0.8245,0.83,0.82445,0.82835
187,0.8312,0.8345,0.83515,0.8308,0.82885
188,0.833,0.8339,0.83825,0.839,0.83475
189,0.8434,0.8385,0.84425,0.84255,0.84145
190,0.84795,0.846,0.8386,0.8469,0.84655
191,0.8544,0.85105,0.84665,0.85435,0.8503
192,0.8561,0.8497,0.85335,0.85625,0.85415
193,0.8575,0.85905,0.8586,0.85875,0.858
194,0.86415,0.8627,0.8597,0.8615,0.85905
195,0.8633,0.8659,0.8648,0.86845,0.8668
196,0.871,0.87135,0.8693,0.86825,0.87355
197,0.8742,0.87695,0.87745,0.87515,0.87275
198,0.87755,0.8815,0.8834,0.87635,0.873
199,0.88505,0.88295,0.8834,0.8876,0.88385
200,0.8936,0.8898,0.88705,0.8832,0.88905
