# MÉDIAS E ESTATÍSTICAS
# Requisição 1: [0,6]
# Modo: CONJUNTO
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   2 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   3 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   4 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   5 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   6 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   7 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   8 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   9 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  10 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  11 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  12 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  13 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  14 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  15 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  16 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  17 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  18 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  19 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  20 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  21 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  22 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  23 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  24 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  25 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  26 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  27 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  28 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  29 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  30 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  31 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  32 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  33 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  34 | 0.00014463 | 0.00043409 | 0.00000000 | 0.00148810 | -0.00005785 | 0.00034711
  35 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  36 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  37 | 0.00013257 | 0.00039793 | 0.00000000 | 0.00136612 | -0.00005304 | 0.00031818
  38 | 0.00020023 | 0.00063982 | 0.00000000 | 0.00269906 | -0.00009821 | 0.00049867
  39 | 0.00032235 | 0.00081229 | 0.00000000 | 0.00265957 | -0.00005654 | 0.00070124
  40 | 0.00054991 | 0.00105914 | 0.00000000 | 0.00368098 | 0.00005588 | 0.00104394
  41 | 0.00229746 | 0.00211575 | 0.00000000 | 0.00603136 | 0.00131058 | 0.00328434
  42 | 0.00197999 | 0.00282378 | 0.00000000 | 0.01123596 | 0.00066285 | 0.00329712
  43 | 0.00210873 | 0.00232783 | 0.00000000 | 0.00890869 | 0.00102293 | 0.00319454
  44 | 0.00305439 | 0.00199078 | 0.00000000 | 0.00669643 | 0.00212580 | 0.00398297
  45 | 0.00271899 | 0.00211330 | 0.00000000 | 0.00726895 | 0.00173325 | 0.00370473
  46 | 0.00596877 | 0.00340791 | 0.00000000 | 0.01077586 | 0.00437917 | 0.00755837
  47 | 0.00527099 | 0.00318391 | 0.00105263 | 0.01220866 | 0.00378588 | 0.00675611
  48 | 0.00857281 | 0.00405337 | 0.00209205 | 0.01479915 | 0.00668214 | 0.01046348
  49 | 0.00987573 | 0.00420294 | 0.00407332 | 0.01862745 | 0.00791530 | 0.01183617
  50 | 0.01269754 | 0.00740085 | 0.00101626 | 0.03308129 | 0.00924546 | 0.01614962
  51 | 0.01685517 | 0.00531674 | 0.00820513 | 0.02737048 | 0.01437521 | 0.01933513
  52 | 0.01666278 | 0.00586993 | 0.00695134 | 0.02949309 | 0.01392478 | 0.01940077
  53 | 0.02189746 | 0.00627260 | 0.01371115 | 0.03914259 | 0.01897165 | 0.02482328
  54 | 0.02477868 | 0.00751065 | 0.01010101 | 0.04287046 | 0.02127538 | 0.02828197
  55 | 0.03102809 | 0.00839627 | 0.01843723 | 0.04661792 | 0.02711171 | 0.03494448
  56 | 0.03125676 | 0.00764570 | 0.01814709 | 0.04329004 | 0.02769047 | 0.03482305
  57 | 0.04078239 | 0.01291199 | 0.02420052 | 0.06591500 | 0.03475967 | 0.04680511
  58 | 0.04532154 | 0.01224714 | 0.02614968 | 0.06986900 | 0.03960893 | 0.05103414
  59 | 0.04617568 | 0.01345059 | 0.02133106 | 0.07263514 | 0.03990174 | 0.05244962
  60 | 0.05485772 | 0.01115440 | 0.03480475 | 0.07370821 | 0.04965482 | 0.06006062
  61 | 0.06021071 | 0.01270112 | 0.03685504 | 0.09023790 | 0.05428635 | 0.06613506
  62 | 0.06431770 | 0.01442856 | 0.03434505 | 0.09172260 | 0.05758759 | 0.07104782
  63 | 0.07485610 | 0.01236981 | 0.04796748 | 0.10256410 | 0.06908628 | 0.08062592
  64 | 0.07188631 | 0.01212397 | 0.04881890 | 0.09572785 | 0.06623115 | 0.07754146
  65 | 0.08251770 | 0.01177439 | 0.05319969 | 0.10601719 | 0.07702561 | 0.08800979
  66 | 0.08779481 | 0.01383117 | 0.05267235 | 0.11144578 | 0.08134335 | 0.09424628
  67 | 0.09458442 | 0.01335940 | 0.06661620 | 0.12186380 | 0.08835301 | 0.10081583
  68 | 0.10594696 | 0.01264737 | 0.06823184 | 0.12307692 | 0.10004767 | 0.11184625
  69 | 0.10743429 | 0.01556174 | 0.07806691 | 0.14164306 | 0.10017561 | 0.11469296
  70 | 0.11368205 | 0.01219448 | 0.09280576 | 0.13659238 | 0.10799401 | 0.11937009
  71 | 0.11817119 | 0.01302905 | 0.09634318 | 0.15087957 | 0.11209387 | 0.12424851
  72 | 0.12448442 | 0.01442103 | 0.10047522 | 0.16054159 | 0.11775782 | 0.13121102
  73 | 0.13465172 | 0.01753360 | 0.10299489 | 0.16600266 | 0.12647328 | 0.14283016
  74 | 0.13682212 | 0.01456747 | 0.11647140 | 0.17647059 | 0.13002721 | 0.14361702
  75 | 0.14670184 | 0.01666064 | 0.12208139 | 0.17942122 | 0.13893059 | 0.15447309
  76 | 0.14455049 | 0.01320666 | 0.12031558 | 0.17073171 | 0.13839032 | 0.15071065
  77 | 0.15854454 | 0.01347421 | 0.13538260 | 0.19456728 | 0.15225958 | 0.16482950
  78 | 0.16225188 | 0.01499532 | 0.14259144 | 0.19924576 | 0.15525741 | 0.16924635
  79 | 0.16379397 | 0.01478694 | 0.13169502 | 0.19937695 | 0.15689670 | 0.17069125
  80 | 0.17301354 | 0.01748453 | 0.14445174 | 0.20117302 | 0.16485799 | 0.18116909
  81 | 0.17543476 | 0.01555795 | 0.14932681 | 0.20730271 | 0.16817785 | 0.18269167
  82 | 0.18389861 | 0.01351575 | 0.15783204 | 0.20951792 | 0.17759427 | 0.19020295
  83 | 0.18574873 | 0.01260161 | 0.16474864 | 0.20471014 | 0.17987079 | 0.19162667
  84 | 0.19429525 | 0.01225995 | 0.17139409 | 0.21290323 | 0.18857667 | 0.20001383
  85 | 0.20710766 | 0.00953927 | 0.18947368 | 0.23185144 | 0.20265812 | 0.21155719
  86 | 0.20763325 | 0.01721828 | 0.15723645 | 0.23468804 | 0.19960189 | 0.21566461
  87 | 0.21648816 | 0.01122443 | 0.19825073 | 0.23804227 | 0.21125259 | 0.22172373
  88 | 0.22041482 | 0.01495449 | 0.19197708 | 0.24863089 | 0.21343940 | 0.22739025
  89 | 0.22675913 | 0.01527353 | 0.19533528 | 0.25795829 | 0.21963489 | 0.23388337
  90 | 0.22372818 | 0.01408467 | 0.19967267 | 0.25721785 | 0.21715847 | 0.23029788
  91 | 0.24646799 | 0.01258401 | 0.22057987 | 0.27156372 | 0.24059825 | 0.25233772
  92 | 0.24509562 | 0.00946304 | 0.22266515 | 0.26055613 | 0.24068164 | 0.24950959
  93 | 0.25045629 | 0.01272189 | 0.22613065 | 0.27070064 | 0.24452224 | 0.25639034
  94 | 0.25442554 | 0.01443058 | 0.22161869 | 0.27834525 | 0.24769448 | 0.26115660
  95 | 0.26160220 | 0.01400788 | 0.22753547 | 0.28034372 | 0.25506831 | 0.26813609
  96 | 0.27193267 | 0.01153170 | 0.24637681 | 0.28885400 | 0.26655378 | 0.27731156
  97 | 0.27258500 | 0.01079084 | 0.25113009 | 0.29859013 | 0.26755168 | 0.27761831
  98 | 0.27609877 | 0.01665964 | 0.24226534 | 0.30539846 | 0.26832798 | 0.28386956
  99 | 0.27727271 | 0.01339968 | 0.25563122 | 0.29778247 | 0.27102251 | 0.28352291
 100 | 0.28203488 | 0.00987189 | 0.26125680 | 0.30699667 | 0.27743020 | 0.28663956
 101 | 0.29374342 | 0.01553404 | 0.26230340 | 0.32167832 | 0.28649766 | 0.30098917
 102 | 0.30355692 | 0.01122592 | 0.28219043 | 0.32208293 | 0.29832066 | 0.30879318
 103 | 0.30355878 | 0.01407574 | 0.27618120 | 0.32874109 | 0.29699323 | 0.31012432
 104 | 0.31409980 | 0.01257261 | 0.29593810 | 0.34747378 | 0.30823539 | 0.31996422
 105 | 0.31021295 | 0.01417240 | 0.28776291 | 0.34235518 | 0.30360232 | 0.31682358
 106 | 0.31761985 | 0.01466815 | 0.29588910 | 0.34417092 | 0.31077798 | 0.32446172
