=== YEN 2 ROTAS ALEATÓRIAS (First Fit) ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Número de rotas consideradas por requisição: 2
  Requisições: [(0, 12), (2, 6), (5, 10), (4, 11), (3, 8)]
  Rodadas por carga: 20
  Chamadas por rodada: 1000
  Cargas testadas: 1 a 200
  Seleção de rota: Aleatória entre as 2 menores
  Alocação de wavelength: First Fit

RESULTADOS (Blocking Probability):
Carga	Req1	Req2	Req3	Req4	Req5
108	0.487950	0.196650	0.464750	0.200200	0.194250
109	0.481700	0.201450	0.473550	0.210300	0.199150
110	0.488400	0.198600	0.476200	0.216500	0.205000
111	0.488800	0.211350	0.479300	0.218750	0.206950
112	0.496750	0.216600	0.484550	0.228850	0.216150
113	0.495400	0.224200	0.489500	0.236500	0.220300
114	0.500150	0.227350	0.490800	0.239050	0.225500
115	0.500200	0.230800	0.491500	0.240250	0.230100
116	0.508550	0.238300	0.496650	0.249450	0.233700
117	0.508950	0.238700	0.497950	0.250800	0.236350
118	0.509500	0.247050	0.508650	0.259050	0.241750
119	0.516400	0.246350	0.508000	0.262100	0.250800
120	0.517550	0.258750	0.513400	0.266650	0.255300
121	0.518800	0.254450	0.507250	0.270700	0.262000
122	0.525600	0.266950	0.517700	0.280100	0.268850
123	0.523050	0.267200	0.516550	0.278450	0.273900
124	0.528850	0.275500	0.517350	0.287850	0.272650
125	0.525350	0.281550	0.524800	0.284650	0.275250
126	0.531750	0.283450	0.528600	0.300300	0.281000
127	0.537750	0.286950	0.527400	0.302750	0.287800
128	0.539300	0.294250	0.537000	0.298400	0.290200
129	0.539150	0.293350	0.533800	0.310500	0.294400
130	0.549000	0.299400	0.528950	0.315400	0.297200
131	0.547100	0.304250	0.541400	0.317150	0.302350
132	0.548350	0.310850	0.542400	0.322400	0.305650
133	0.550750	0.312500	0.546750	0.330250	0.315500
134	0.556250	0.311250	0.548300	0.328950	0.321100
135	0.559100	0.322600	0.551850	0.331900	0.323750
136	0.560300	0.327700	0.549050	0.336600	0.322300
137	0.558900	0.325250	0.554000	0.346650	0.328650
138	0.562000	0.331900	0.559400	0.343650	0.333450
139	0.568000	0.339350	0.561850	0.349100	0.336850
140	0.569850	0.337150	0.559950	0.359250	0.338050
141	0.565550	0.340150	0.563700	0.360550	0.344400
142	0.570450	0.349150	0.570400	0.362650	0.349800
143	0.573150	0.354450	0.568800	0.363400	0.350050
144	0.575850	0.352350	0.574250	0.373000	0.351450
145	0.577200	0.360050	0.573100	0.372800	0.357550
146	0.576050	0.362650	0.571300	0.375850	0.359450
147	0.586100	0.360200	0.576950	0.377350	0.361000
148	0.583500	0.370050	0.581300	0.381500	0.362800
149	0.586050	0.373500	0.586600	0.386900	0.371400
150	0.590300	0.378850	0.582450	0.382850	0.372350
