=== YEN 2 ROTAS ALEATÓRIAS - TODAS AS REQUISIÇÕES ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Requisições: [(0, 12), (2, 6), (5, 10), (4, 11), (3, 8)]
  Rodadas por carga: 20
  Chamadas por rodada: 1000
  Distribuição: 80% das 5 requisições (16% cada), 20% aleatórias
  Cargas testadas: 0 a 200

RESULTADOS POR REQUISIÇÃO (Blocking Probability):
Carga	Req[0,12]	Req[2,6]	Req[5,10]	Req[4,11]	Req[3,8]	Média Geral
160	0.402235	0.230769	0.235294	0.142857	0.324503	0.267132
161	0.400000	0.291667	0.264516	0.183544	0.289017	0.285749
162	0.445714	0.233918	0.186207	0.224490	0.319018	0.281870
163	0.353741	0.236111	0.251497	0.265537	0.318182	0.285014
164	0.398844	0.311765	0.227273	0.239726	0.337662	0.303054
165	0.363014	0.198718	0.245810	0.227848	0.322785	0.271635
166	0.463415	0.227848	0.317568	0.239521	0.372093	0.324089
167	0.415584	0.259259	0.227545	0.244048	0.290780	0.287443
168	0.421053	0.222222	0.268293	0.272727	0.356322	0.308123
169	0.414634	0.256250	0.205128	0.266667	0.322581	0.293052
170	0.386503	0.224359	0.234483	0.210526	0.360000	0.283174
171	0.462585	0.270115	0.238889	0.276596	0.319277	0.313492
172	0.429530	0.260606	0.298780	0.294118	0.287770	0.314161
173	0.409722	0.301775	0.319018	0.225610	0.362500	0.323725
174	0.478261	0.306250	0.235294	0.287671	0.337349	0.328965
175	0.435065	0.245283	0.285714	0.214724	0.347826	0.305722
176	0.394737	0.286550	0.251462	0.353293	0.324138	0.322036
177	0.467066	0.278481	0.221429	0.293785	0.348993	0.321951
178	0.493750	0.286517	0.240964	0.322981	0.369427	0.342728
179	0.448485	0.254335	0.221519	0.243056	0.421965	0.317872
180	0.503145	0.303797	0.313609	0.287500	0.374194	0.356449
181	0.449664	0.226667	0.292818	0.277457	0.339506	0.317222
182	0.490323	0.243750	0.286585	0.225806	0.419355	0.333164
183	0.493333	0.362573	0.337580	0.293333	0.357576	0.368879
184	0.445860	0.261146	0.316770	0.396450	0.402367	0.364519
185	0.476190	0.346154	0.237410	0.352941	0.389222	0.360383
186	0.490323	0.248366	0.331288	0.302158	0.353591	0.345145
187	0.496970	0.250000	0.232877	0.318182	0.419540	0.343514
188	0.458065	0.245161	0.306358	0.319018	0.367742	0.339269
189	0.520958	0.259494	0.270115	0.261745	0.402597	0.342982
190	0.459302	0.283019	0.383117	0.341176	0.428571	0.379037
191	0.515723	0.219355	0.239726	0.281437	0.391304	0.329509
192	0.500000	0.277778	0.322034	0.302013	0.457831	0.371931
193	0.421053	0.248366	0.307229	0.326923	0.459119	0.352538
194	0.523490	0.310345	0.316129	0.344156	0.429319	0.384688
195	0.521739	0.304054	0.326923	0.301676	0.345455	0.359969
196	0.487179	0.253247	0.353659	0.382022	0.393750	0.373971
197	0.520000	0.322581	0.393939	0.385542	0.400000	0.404412
198	0.554945	0.344156	0.306122	0.312500	0.365385	0.376622
199	0.514493	0.296970	0.409836	0.329545	0.442177	0.398604
200	0.559524	0.301282	0.341772	0.316456	0.436709	0.391149

=== ESTATÍSTICAS GERAIS (Cargas 1-200) ===

MÉDIAS POR REQUISIÇÃO:
  [0,12]: 0.166279 (16.6279%)
  [2,6]: 0.098582 (9.8582%)
  [5,10]: 0.098204 (9.8204%)
  [4,11]: 0.095241 (9.5241%)
  [3,8]: 0.127084 (12.7084%)

MÉDIA GERAL: 0.117078 (11.7078%)
MÁXIMO GERAL: 0.559524 (55.9524%)
MÍNIMO GERAL: 0.000000 (0.0000%)
DESVIO PADRÃO GERAL: 0.142558
