=== YEN ROUTING + FIRST FIT WAVELENGTH ALLOCATION ===

Network Parameters:
  Wavelengths: 40
  YEN Strategy: Always shortest path (k[0])
  Wavelength Strategy: First Fit (WITH WAVELENGTH CONVERSION)
  Temporal Model: Calls have duration and release wavelengths when expire
  Requests tested: [(0, 12), (2, 6), (5, 10), (4, 11), (3, 8)]

Blocking Probability Results:
Load	Req1	Req2	Req3	Req4	Req5
110	0.469050	0.492050	0.491700	0.497600	0.500550
111	0.479350	0.492650	0.496150	0.496500	0.500050
112	0.482400	0.501650	0.497550	0.499250	0.506400
113	0.482700	0.503900	0.499800	0.506150	0.507300
114	0.486500	0.503600	0.504500	0.509150	0.511150
115	0.491700	0.512800	0.510000	0.511900	0.512600
116	0.488450	0.511450	0.508100	0.517750	0.521400
117	0.492400	0.516100	0.511600	0.520150	0.518650
118	0.492300	0.517500	0.515650	0.519750	0.519400
119	0.499600	0.519050	0.511750	0.524900	0.523550
120	0.507950	0.518850	0.513200	0.526200	0.525350
121	0.500050	0.523700	0.525950	0.527050	0.531650
122	0.505300	0.528250	0.527750	0.524400	0.538950
123	0.512450	0.529000	0.533450	0.537350	0.535050
124	0.515150	0.529700	0.529300	0.534850	0.541050
125	0.511700	0.532800	0.534050	0.533600	0.542750
126	0.516700	0.537650	0.537350	0.543600	0.542750
127	0.517050	0.537450	0.542000	0.540200	0.549400
128	0.516400	0.539100	0.543850	0.544900	0.547700
129	0.518250	0.546350	0.536600	0.547350	0.547950
130	0.522800	0.547800	0.546200	0.548450	0.555400
131	0.529750	0.543500	0.551050	0.549250	0.556000
132	0.532150	0.549350	0.556600	0.557050	0.556550
133	0.533450	0.554850	0.547800	0.554450	0.557600
134	0.530700	0.554400	0.561400	0.559250	0.558950
135	0.536950	0.559550	0.558100	0.554700	0.565650
136	0.544100	0.559600	0.558350	0.565750	0.567100
137	0.543700	0.561800	0.562450	0.566050	0.565900
138	0.544300	0.560100	0.565250	0.568500	0.571450
139	0.543150	0.564700	0.562900	0.567000	0.568000
140	0.542050	0.569050	0.567100	0.568350	0.575300
141	0.549400	0.570200	0.572650	0.570950	0.578850
142	0.554750	0.570650	0.569050	0.573250	0.577050
143	0.554750	0.575150	0.572550	0.580850	0.579650
144	0.556500	0.572550	0.578750	0.577850	0.583800
145	0.555950	0.580800	0.577350	0.581350	0.583100
146	0.560000	0.583400	0.579000	0.584450	0.586350
147	0.560700	0.582700	0.581000	0.586750	0.585300
148	0.558550	0.589300	0.589100	0.580150	0.589900
149	0.564650	0.585600	0.585300	0.589350	0.595650
150	0.565250	0.583750	0.590400	0.592550	0.596050
151	0.569650	0.589100	0.594750	0.593300	0.592350
152	0.572200	0.591900	0.592900	0.595750	0.597150
153	0.574450	0.590250	0.591250	0.592700	0.595250
154	0.575350	0.594600	0.593550	0.593550	0.598000
155	0.570850	0.597200	0.593300	0.606200	0.601500
156	0.573500	0.592250	0.597100	0.597900	0.606500
157	0.576350	0.599000	0.597300	0.600200	0.604350
158	0.574300	0.602500	0.603350	0.605000	0.607850
159	0.580300	0.600350	0.602750	0.606150	0.612650
160	0.580950	0.608900	0.601700	0.605850	0.607000
161	0.581000	0.600500	0.600150	0.607550	0.618400
162	0.582200	0.609700	0.608550	0.609450	0.614950
163	0.588900	0.606900	0.605650	0.615350	0.616650
164	0.586300	0.615650	0.611200	0.618600	0.621450
165	0.587900	0.614550	0.613100	0.613000	0.617100
166	0.591600	0.616650	0.611600	0.617300	0.618100
167	0.591000	0.612900	0.615450	0.614250	0.616200
168	0.596850	0.616100	0.612800	0.619300	0.623950
169	0.596300	0.616450	0.619000	0.616900	0.618600
170	0.598800	0.622500	0.619550	0.624300	0.624350
171	0.596850	0.619800	0.618800	0.619200	0.627550
172	0.597350	0.620700	0.620300	0.622250	0.633650
173	0.606100	0.622500	0.622100	0.623950	0.623050
174	0.601800	0.622050	0.629700	0.623150	0.629550
175	0.597950	0.625750	0.628900	0.627650	0.629200
176	0.596100	0.621150	0.628700	0.630300	0.629900
177	0.609650	0.626150	0.628900	0.629650	0.631400
178	0.605600	0.627650	0.629300	0.629850	0.630350
179	0.608200	0.630100	0.626500	0.632450	0.640750
180	0.613050	0.628300	0.631950	0.636800	0.641150
181	0.606350	0.627300	0.630250	0.636950	0.635750
182	0.609050	0.636000	0.634950	0.639400	0.636900
183	0.616200	0.635250	0.631250	0.636950	0.642350
184	0.611600	0.639650	0.633900	0.639700	0.647500
185	0.614050	0.641150	0.636900	0.639250	0.643000
186	0.616250	0.638550	0.639750	0.640700	0.644100
187	0.616000	0.636750	0.636050	0.634100	0.644700
188	0.623650	0.638050	0.642750	0.641150	0.647900
189	0.618350	0.642450	0.637600	0.642900	0.651400
190	0.615950	0.644050	0.641100	0.645800	0.645950
191	0.621850	0.644450	0.639800	0.643050	0.645100
192	0.623550	0.639400	0.648100	0.644900	0.656050
193	0.623850	0.648400	0.643350	0.649450	0.654400
194	0.622350	0.646900	0.650150	0.651150	0.648750
195	0.629850	0.649350	0.643400	0.649350	0.654550
196	0.625000	0.648400	0.650750	0.653250	0.658200
197	0.628500	0.649700	0.654450	0.651900	0.658750
198	0.628950	0.653200	0.646500	0.655850	0.655100
199	0.631000	0.650550	0.656550	0.656500	0.660650
200	0.628300	0.653200	0.651900	0.653900	0.656550

=== STATISTICS (Load 1-30) ===

[0,12]:
  Average: 0.356251
  Max: 0.631000
  Min: 0.000000
  Std Dev: 0.234065

[2,6]:
  Average: 0.370864
  Max: 0.653200
  Min: 0.000000
  Std Dev: 0.242430

[3,8]:
  Average: 0.370257
  Max: 0.656550
  Min: 0.000000
  Std Dev: 0.242559

[4,11]:
  Average: 0.372343
  Max: 0.656500
  Min: 0.000000
  Std Dev: 0.243501

[5,10]:
  Average: 0.375226
  Max: 0.660650
  Min: 0.000000
  Std Dev: 0.244828
